"","ID","Year","Month","Lat","Lon","Depth","Catch_w","Catch_n","Catch_w_m","Catch_w_f","Tow_length_nm","Sample_size","Female","Male","Juvenile","Adult","Female2","Male2","Juvenile2","Adult2","Day","DOY"
"82","200172",2001,5,44.0078,-68.5558,42.1,4.25,12,3.25,1,0.75,12,4,8,0,12,4,8,0,12,15,135
"83","200173",2001,5,43.9549,-68.4123,51.8,12,5,10,2,0.6,5,2,3,0,5,2,3,0,5,15,135
"84","200174",2001,5,44.2136,-68.4234,16.8,27.5,92,16,11.5,0.79,92,39,53,4,88,39,53,4,88,16,136
"85","200175",2001,5,44.143,-68.2632,28,18.75,61,10,8.75,0.75,61,30,31,1,60,30,31,1,60,16,136
"86","200176",2001,5,44.0419,-68.2636,51.7,0.5,3,0.5,0,0.76,3,0,3,0,3,0,3,0,3,16,136
"87","200177",2001,5,43.9838,-68.3137,51.7,6,3,4.5,1.5,0.78,3,2,1,0,3,2,1,0,3,16,136
"88","200178",2001,5,44.4465,-68.305,8,0.45,1,0,0.45,0.74,1,1,0,0,1,1,0,0,1,17,137
"89","200179",2001,5,44.4389,-68.2379,21.8,1.85,6,0.6,1.25,0.76,6,4,2,0,6,4,2,0,6,17,137
"90","20018",2001,4,43.1454,-70.3905,47.3,11.75,34,6.25,5.5,0.85,34,17,16,0,34,17.5151515151515,16.4848484848485,0,34,25,115
"91","200180",2001,5,44.4078,-68.2302,6.5,2.05,6,1.5,0.55,0.79,6,2,4,0,6,2,4,0,6,17,137
"92","200181",2001,5,44.3938,-68.1133,16,37.5,165,19.25,20.25,0.8,165,85,80,9,156,85,80,9,156,17,137
"93","200182",2001,5,44.2884,-68.1328,35,9.25,29,6.5,2.75,0.81,29,11,18,0,29,11,18,0,29,17,137
"94","200183",2001,5,44.2133,-68.0673,42,1.2,6,0.7,0.5,0.75,6,2,4,0,6,2,4,0,6,17,137
"95","200184",2001,5,44.2328,-68.1314,37,13.75,56,7.25,6.5,0.87,56,25,31,2,54,25,31,2,54,17,137
"96","200185",2001,5,44.1627,-67.8787,55.8,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,18,138
"97","200186",2001,5,44.1598,-67.9554,48,0.9,4,0.4,0.5,0.83,4,2,2,0,4,2,2,0,4,18,138
"98","200187",2001,5,44.2477,-67.9992,35.9,3.4,9,2,1.4,0.8,9,5,4,0,9,5,4,0,9,18,138
"99","200188",2001,5,44.291,-68.0019,34,17.75,61,10.5,7.25,0.79,61,26,35,0,61,26,35,0,61,18,138
"100","200189",2001,5,44.3185,-67.8508,33,20.25,74,7.25,13,0.78,74,47,27,1,73,47,27,1,73,21,141
"101","20019",2001,4,43.1896,-70.384,46,6.25,16,4,2.25,0.66,16,7,9,0,16,7,9,0,16,25,115
"102","200190",2001,5,44.3085,-67.872,33,15,83,7,8,0.84,83,31,52,0,83,31,52,0,83,21,141
"103","200191",2001,5,44.3832,-67.9156,20.9,82.25,289,40.25,42,0.84,289,148,141,4,285,148,141,4,285,21,141
"104","200192",2001,5,44.4583,-67.7886,18.6,41.75,146,25.5,16.25,0.91,146,63,83,9,137,63,83,9,137,21,141
"105","200193",2001,5,44.4517,-67.7265,20.7,61.75,208,33,28.75,1.01,208,107,101,8,200,107,101,8,200,22,142
"106","200194",2001,5,44.2484,-67.7988,49.7,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,22,142
"107","200195",2001,5,44.3015,-67.6631,49.1,0.9,1,0,0.9,0.84,1,1,0,0,1,1,0,0,1,22,142
"108","200196",2001,5,44.2972,-67.6049,45,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,22,142
"109","200197",2001,5,44.3012,-67.4991,62,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,22,142
"110","200198",2001,5,44.4141,-67.5695,35.1,15.5,60,8,7.5,0.84,60,32,28,3,57,32,28,3,57,23,143
"111","200199",2001,5,44.4259,-67.4499,42.2,0.95,3,0.2,0.75,0.87,3,2,1,0,3,2,1,0,3,23,143
"112","20021",2002,5,42.865,-70.7443,19.8,4.65,14,3.05,1.6,0.77,14,5,9,0,14,5,9,0,14,6,126
"113","200210",2002,5,43.1678,-70.3204,60,2.52,5,1.8,0.72,0.75,5,2,3,0,5,2,3,0,5,8,128
"114","200211",2002,5,43.2943,-70.4965,18.6,10.22,44,5.12,5.1,0.69,44,26,18,1,43,26,18,1,43,8,128
"115","200212",2002,5,43.2111,-70.554,17,0.76,3,0,0.76,0.64,3,3,0,0,3,3,0,0,3,8,128
"116","200213",2002,5,43.3955,-70.1981,56,1.06,4,0.6,0.46,0.83,4,2,2,0,4,2,2,0,4,9,129
"117","200214",2002,5,43.4015,-70.1348,57.4,6.86,8,2.12,4.74,0.77,8,6,2,0,8,6,2,0,8,9,129
"118","200215",2002,5,43.4227,-70.2907,31,41.92,208,24.82,17.1,0.82,207,91,116,13,194,91.4396135265701,116.56038647343,13.0628019323672,194.937198067633,9,129
"119","200216",2002,5,43.4998,-70.3337,10,5.88,23,4.64,1.24,0.62,23,6,17,1,22,6,17,1,22,9,129
"120","200217",2002,5,43.5035,-70.2073,34.3,35.82,177,19.66,16.16,0.77,177,86,91,18,159,86,91,18,159,10,130
"121","200218",2002,5,43.4841,-70.2079,36,12.5,68,5,7.5,0.58,68,39,29,0,68,39,29,0,68,10,130
"122","200219",2002,5,43.4723,-70.3229,18,17.94,81,10.64,7.3,0.66,81,33,48,7,74,33,48,7,74,10,130
"123","20022",2002,5,42.8828,-70.6586,35,0.4,2,0.4,0,0.86,2,0,2,0,2,0,2,0,2,6,126
"124","200220",2002,5,43.5218,-70.0253,53.4,0.1,1,0,0.1,0.71,1,1,0,0,1,1,0,0,1,13,133
"125","200221",2002,5,43.655,-70.0561,21,65.59,337,36.8,28.79,0.5,337,156,181,58,279,156,181,58,279,13,133
"126","200222",2002,5,43.6514,-70.0929,20,10.74,61,5.18,5.76,0.63,61,32,29,11,50,32,29,11,50,13,133
"127","200223",2002,5,43.775,-70.0681,6.2,31.43,158,19.75,11.68,0.74,158,70,88,24,134,70,88,24,134,15,135
"128","200224",2002,5,43.6582,-69.9749,29.4,32.81,254,16.09,16.72,0.75,254,129,125,97,157,129,125,97,157,15,135
"129","200225",2002,5,43.5806,-69.9552,52.2,2.6,13,1.68,0.92,0.73,13,4,9,2,11,4,9,2,11,15,135
"130","200226",2002,5,43.6029,-69.8716,46.2,5.14,19,2.94,2.2,0.75,19,9,10,1,18,9,10,1,18,15,135
"131","200227",2002,5,43.6592,-69.7917,20.4,15.13,41,7.25,7.88,0.72,41,21,20,0,41,21,20,0,41,15,135
"132","200228",2002,5,43.7084,-69.7422,17.1,84.68,252,44.68,40,0.72,252,117,133,1,251,117.936,134.064,1,251,15,135
"133","200229",2002,5,43.6274,-69.757,47.1,3.4,14,1.26,2.14,0.69,14,7,7,1,13,7,7,1,13,16,136
"134","20023",2002,5,42.9117,-70.6452,31.6,3.5,9,2.08,1.42,0.81,9,2,7,0,9,2,7,0,9,6,126
"135","200230",2002,5,43.6885,-69.6821,40,22.92,82,11.48,11.44,0.68,82,40,42,4,78,40,42,4,78,16,136
"136","200231",2002,5,43.7061,-69.9497,20.3,79.02,430,44.86,34.16,0.51,430,195,235,101,329,195,235,101,329,16,136
"137","200232",2002,5,43.7214,-69.9113,13,137.08,490,59.26,77.82,0.77,490,266,224,13,477,266,224,13,477,16,136
"138","200233",2002,5,43.8002,-69.6948,23,66.92,462,38.86,28.06,0.7,462,215,247,161,301,215,247,161,301,16,136
"139","200234",2002,5,43.7548,-69.6494,31.3,56.33,289,28.97,29.36,0.78,289,137,152,46,243,137,152,46,243,17,137
"140","200235",2002,5,43.7499,-69.7386,7,71.05,262,38.6,32.45,0.72,11,4,7,0,11,95.2727272727273,166.727272727273,0,262,17,137
"141","200236",2002,5,43.7358,-69.3396,52.2,10.74,25,4.76,5.98,0.75,25,10,15,1,24,10,15,1,24,17,137
"142","200237",2002,5,43.845,-69.4056,31.4,47.64,187,17.9,29.74,0.72,187,114,73,13,173,114,73,13.0698924731183,173.930107526882,17,137
"143","200238",2002,5,43.8368,-69.4845,32,27.4,166,13.48,13.92,0.74,166,92,74,48,118,92,74,48,118,17,137
"144","200239",2002,5,43.8605,-69.2717,36.1,145.82,865,79.98,65.84,0.73,859,400,459,166,693,402.79394644936,462.20605355064,167.159487776484,697.840512223516,21,141
"145","20024",2002,5,42.9292,-70.7543,13.7,6.74,22,3.26,3.48,0.81,22,10,12,0,22,10,12,0,22,6,126
"146","200240",2002,5,43.77133,-69.1104,46,7.05,7,6,1.05,0.58,7,2,5,1,6,2,5,1,6,21,141
"147","200241",2002,5,43.9231,-69.12547,18,101.84,502,54.5,47.34,0.59,501,226,275,18,483,226.451097804391,275.548902195609,18.0359281437126,483.964071856287,21,141
"148","200242",2002,5,43.9346,-69.12515,20,82.08,393,49.92,32.16,0.44,393,162,231,50,343,162,231,50,343,21,141
"149","200243",2002,5,44.14593,-69.0327,24,5.44,19,3.86,1.58,0.74,19,6,13,0,19,6,13,0,19,22,142
"150","200244",2002,5,44.21067,-68.92563,22,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,22,142
"151","200245",2002,5,44.28902,-68.88475,24,1,2,0.4,0.6,0.77,2,1,1,0,2,1,1,0,2,22,142
"152","200246",2002,5,44.275,-68.7734,16,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,22,142
"153","200247",2002,5,44.33012,-68.83423,22,0.82,2,0.82,0,0.79,2,0,2,0,2,0,2,0,2,22,142
"154","200248",2002,5,44.22883,-68.9862,28.9,0.6,2,0.36,0.24,0.66,2,1,1,0,2,1,1,0,2,22,142
"155","200249",2002,5,43.86437,-69.0833,34.6,33.76,125,16.08,17.68,0.75,125,69,56,9,116,69,56,9,116,23,143
"156","20025",2002,5,42.9909,-70.6433,12,12,39,6.02,5.98,0.76,39,20,19,0,39,20,19,0,39,7,127
"157","200250",2002,5,43.8363,-69.11195,37.7,39.54,196,19.34,20.2,0.47,196,99,97,25,171,99,97,25,171,23,143
"158","200251",2002,5,43.8887,-68.7906,50,32.72,63,19.3,13.42,0.73,63,28,35,0,63,28,35,0,63,23,143
"159","200252",2002,5,43.90803,-68.62493,51.1,12.08,10,3.68,8.4,0.52,10,7,3,0,10,7,3,0,10,24,144
"160","200253",2002,5,43.90277,-68.75245,46.6,7.46,14,0,0,0.82,14,9,5,0,14,9,5,0,14,25,145
"161","200254",2002,5,43.91812,-68.77043,57,7.94,7,7.12,0.82,0.75,7,2,5,0,7,2,5,0,7,25,145
"162","200255",2002,5,43.9794,-68.71423,42.6,7.84,10,6,1.84,0.45,10,4,6,0,10,4,6,0,10,25,145
"163","200256",2002,5,44.1436,-68.75593,28.3,3.54,11,1.16,2.38,0.74,11,5,6,1,10,5,6,1,10,25,145
"164","200257",2002,5,44.18628,-68.73725,12,8.26,26,6.14,2.12,0.56,26,7,19,0,26,7,19,0,26,25,145
"165","200258",2002,5,44.01553,-68.54345,40.5,12.22,34,5.74,6.48,0.75,34,18,16,1,33,18,16,1,33,27,147
"166","200259",2002,5,44.12443,-68.4795,13,47.94,143,27.7,20.2,0.5,143,64,79,1,142,64,79,1,142,27,147
"167","20026",2002,5,42.9724,-70.5153,47.1,2.44,4,0.1,2.34,0.73,4,3,1,0,4,3,1,0,4,7,127
"168","200260",2002,5,44.15798,-68.5409,13.9,24.67,96,15.75,8.92,0.58,96,34,62,10,86,34,62,10,86,27,147
"169","200261",2002,5,43.92093,-68.58272,50.6,8.43,6,4.19,4.24,0.78,6,4,2,0,6,4,2,0,6,28,148
"170","200262",2002,5,43.96745,-68.3725,54.4,4.34,3,1.12,3.22,0.89,3,2,1,0,3,2,1,0,3,28,148
"171","200263",2002,5,44.00093,-68.46567,46.9,7.25,10,0.66,6.59,0.9,10,8,2,0,10,8,2,0,10,28,148
"172","200264",2002,5,44.04493,-68.30957,49,9.16,11,6,3.16,0.85,11,7,4,0,11,7,4,0,11,28,148
"173","200265",2002,5,44.36998,-68.48268,16.3,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,29,149
"174","200266",2002,5,44.3434,-68.47925,25.2,0.42,1,0.42,0,0.89,1,0,1,0,1,0,1,0,1,29,149
"175","200267",2002,5,44.20723,-68.43603,14,23.78,87,11.7,12.08,0.67,87,41,46,5,82,41,46,5,82,29,149
"176","200268",2002,5,44.13687,-68.25547,27,17.82,54,4.96,12.86,0.5,54,38,16,1,53,38,16,1,53,29,149
"177","200269",2002,5,44.00628,-68.09,60,3.58,6,0.26,3.32,0.61,6,5,1,1,5,5,1,1,5,30,150
"178","20027",2002,5,43.0012,-70.4813,49.8,0.28,1,0.28,0,0.86,1,0,1,0,1,0,1,0,1,7,127
"179","200270",2002,5,44.09012,-68.10523,56,6.14,10,5.34,0.8,0.76,10,3,7,0,10,3,7,0,10,30,150
"180","200271",2002,5,44.18278,-68.04438,46.6,4.3,9,2.82,1.48,0.81,9,3,6,1,8,3,6,1,8,30,150
"181","200272",2002,5,44.21277,-68.08103,38.5,7.12,18,2.18,4.94,0.87,18,7,11,4,14,7,11,4,14,31,151
"182","200273",2002,5,44.28535,-68.13123,35,13.72,51,8.76,4.96,0.94,51,16,35,4,47,16,35,4,47,31,151
"183","200274",2002,5,44.38457,-68.11767,18.9,53.94,244,29.98,23.96,0.73,244,113,131,25,219,113,131,25,219,31,151
"184","200275",2002,5,44.43242,-68.195,25,3.23,11,1.78,1.45,0.75,11,5,6,0,11,5,6,0,11,31,151
"185","200276",2002,6,44.39412,-67.92497,17,90.14,347,49.79,40.35,0.3,347,163,184,19,328,163,184,19,328,3,154
"186","200277",2002,6,44.32223,-67.85705,30.6,20.4,69,9.98,10.42,0.54,69,33,36,2,67,33,36,2,67,3,154
"187","200278",2002,6,44.23587,-67.79763,48.8,4.92,5,0.74,4.18,0.82,5,3,2,0,5,3,2,0,5,3,154
"188","200279",2002,6,44.30163,-67.66167,48.8,15.99,12,5.99,10,0.38,12,9,3,0,12,9,3,0,12,3,154
"189","20028",2002,5,43.0351,-70.4575,51,0.74,2,0,0.74,0.88,2,2,0,0,2,2,0,0,2,7,127
"190","200280",2002,6,44.46157,-67.72425,22.1,54.92,213,27.9,27.02,0.75,213,103,110,22,191,103,110,22,191,4,155
"191","200281",2002,6,44.45833,-67.65018,19.6,31.18,112,15.12,16.06,0.69,112,59,53,1,111,59,53,1,111,4,155
"192","200282",2002,6,44.40232,-67.7299,26,33.94,114,12.88,21.04,0.82,114,62,52,1,113,62,52,1,113,4,155
"193","200283",2002,6,44.37078,-67.67887,32,38.49,106,17.38,21.11,0.78,106,56,50,1,105,56,50,1,105,4,155
"194","200284",2002,6,44.435,-67.53027,42.5,11.64,41,6.45,5.19,0.8,41,21,20,0,41,21,20,0,41,4,155
"195","200285",2002,6,44.58763,-67.28667,32.6,17.96,88,7.24,10.72,0.79,88,55,33,12,76,55,33,12,76,5,156
"196","200286",2002,6,44.54577,-67.33492,33.5,11.68,47,4.48,7.2,0.76,47,28,19,2,45,28,19,2,45,5,156
"197","200287",2002,6,44.69982,-67.04305,45.6,7.94,27,2.36,0.42,0.76,27,11,16,2,25,11,16,2,25,6,157
"198","200288",2002,6,44.75112,-66.93453,51.9,2.28,1,2.28,0,1.19,1,0,1,0,1,0,1,0,1,6,157
"199","200289",2002,6,44.70815,-66.95508,56,0.72,3,0.36,0.36,1.1,3,1,2,0,3,1,2,0,3,6,157
"200","20029",2002,5,43.1471,-70.3882,48.7,6.66,22,3.54,3.12,0.76,22,8,14,0,22,8,14,0,22,8,128
"201","200290",2002,6,44.71083,-66.9841,42.5,2.12,8,1.5,0.62,0.76,8,2,6,0,8,2,6,0,8,6,157
"202","200291",2002,6,44.62145,-67.09818,47.5,14.5,36,7.32,7.18,0.79,36,15,21,0,36,15,21,0,36,6,157
"203","200292",2002,6,44.5014,-67.3961,36.3,33.6,117,13.32,20.28,0.82,117,68,49,4,113,68,49,4,113,7,158
"204","200293",2002,6,44.42513,-67.13368,54.4,1.64,2,0,1.64,0.75,2,2,0,0,2,2,0,0,2,7,158
"205","200294",2002,6,44.42567,-67.14892,59.4,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,7,158
"206","20031",2003,5,42.93685,-70.74628,14.6,2.58,10,2.22,0.36,0.84,10,1,9,0,10,1,9,0,10,5,125
"207","200310",2003,5,43.15272,-70.37645,49,4.27,16,2.19,2.08,0.76,16,7,9,0,16,7,9,0,16,7,127
"208","2003100",2003,6,44.77567,-66.92848,54,0.58,2,0.58,0,0.85,2,0,2,0,2,0,2,0,2,6,157
"209","2003101",2003,6,44.68058,-67.00647,46.5,12.06,41,5.94,6.12,0.74,41,21,20,2,39,21,20,2,39,6,157
"210","200311",2003,5,43.20315,-70.2646,63.4,0.3,1,0.3,0,0.95,1,0,1,0,1,0,1,0,1,7,127
"211","200312",2003,5,43.29133,-70.5084,19.8,14.74,62,8.56,6.18,0.84,62,29,33,5,57,29,33,5,57,7,127
"212","200313",2003,5,43.30987,-70.10923,75.7,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,8,128
"213","200314",2003,5,43.39912,-70.1314,58.1,3,5,1.18,1.82,0.7,5,3,2,0,5,3,2,0,5,8,128
